ques_1_1,ques_1_2,ques_1_3,ques_1_4,ques_1_5,ques_1_6,ques_1_7,ques_1_8,ques_1_9,ques_1_10,ques_1_11,ques_1_12,ques_1_13,ques_1_14,ques_1_15,ques_1_16,ques_1_17,ques_1_18,ques_1_19,ques_1_20,ques_1_21,ques_1_22,ques_1_23,ques_1_24,ques_1_25,ques_1_26,ques_1_27,ques_1_28,ques_1_29,ques_1_30,ques_1_31,ques_1_32,id,interview,school,class,studentid,classind,classsize,idt,st_V8,sch_score_68_3,sch_score_68_8,sch_score_68_13,sch_gpa_68,sch_score_70_3,sch_score_70_8,sch_score_70_13,sch_gpa_10,age,iq,edu_father,edu_mother,empmot,int_index,int_5q,intdum1,intdum2,intdum3,intdum4,intdum5,intdum6,iq_d1,iq_d2,iq_d3,iq_d4,iq_d5,iq_d6,edu_fatherd1,edu_fatherd2,edu_fatherd3,edu_fatherd4,edu_fatherdm,edu_motherd1,edu_motherd2,edu_motherd3,edu_motherd4,edu_motherdm,prestige,fem,_merge
9,10,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101101,1,1,1,1,1,23,1101,altsprachlich,,,,,,,,,17,24,1,1,3,14,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,23,0,3
1,9,17,18,20,21,,,,,,,,,,,,,,,,,,,,,,,,,,,101102,1,1,1,2,1,23,1102,altsprachlich,,,,,,,,,16,47,1,1,3,14,3,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,24,0,3
2,4,5,6,7,10,11,12,13,18,21,,,,,,,,,,,,,,,,,,,,,,101103,1,1,1,3,1,23,1103,altsprachlich,,,,,,,,,16,28,2,1,2,11,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,32,0,3
7,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101104,1,1,1,4,1,23,1104,altsprachlich,,,,,,,,,17,45,11,11,1,16,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,57,0,3
2,6,9,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,101105,1,1,1,5,1,23,1105,altsprachlich,,,,,,,,,16,33,1,1,1,14,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,42,0,3
1,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101106,1,1,1,6,1,23,1106,altsprachlich,,,,,,,,,15,48,2,2,3,11,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,38,0,3
1,3,5,6,18,20,,,,,,,,,,,,,,,,,,,,,,,,,,,101107,1,1,1,7,1,23,1107,altsprachlich,,,,,,,,,16,37,2,2,2,17,5,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,44,0,3
2,5,6,9,10,15,16,19,,,,,,,,,,,,,,,,,,,,,,,,,101108,1,1,1,8,1,23,1108,altsprachlich,,,,,,,,,15,25,9,1,2,19,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,44,0,3
2,11,13,16,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,101109,1,1,1,9,1,23,1109,altsprachlich,,,,,,,,,18,35,1,1,3,15,4,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,32,0,3
6,8,14,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101110,1,1,1,10,1,23,1110,altsprachlich,,,,,,,,,15,49,1,1,3,16,4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,42,0,3
9,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101111,1,1,1,11,1,23,1111,altsprachlich,,,,,,,,,17,48,1,1,2,14,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,42,0,3
1,3,4,6,9,10,11,13,14,18,,,,,,,,,,,,,,,,,,,,,,,101112,1,1,1,12,1,23,1112,altsprachlich,,,,,,,,,17,26,1,1,3,16,4,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,32,0,3
1,2,9,10,11,19,22,,,,,,,,,,,,,,,,,,,,,,,,,,101113,1,1,1,13,1,23,1113,altsprachlich,,,,,,,,,17,45,1,1,3,14,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,24,0,3
1,2,4,6,9,10,12,20,,,,,,,,,,,,,,,,,,,,,,,,,101114,1,1,1,14,1,23,1114,altsprachlich,,,,,,,,,17,29,3,1,3,11,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,62,0,3
2,8,10,16,19,20,22,,,,,,,,,,,,,,,,,,,,,,,,,,101115,1,1,1,15,1,23,1115,altsprachlich,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,0,3
9,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101116,1,1,1,16,1,23,1116,altsprachlich,,,,,,,,,15,34,1,1,2,10,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,24,0,3
2,5,9,10,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,101117,1,1,1,17,1,23,1117,altsprachlich,,,,,,,,,15,27,6,2,1,10,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,52,0,3
6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101118,1,1,1,18,1,23,1118,altsprachlich,,,,,,,,,16,58,2,1,2,17,5,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,42,0,3
10,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101119,1,1,1,19,1,23,1119,altsprachlich,,,,,,,,,15,39,2,1,3,11,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,24,0,3
2,6,7,9,10,13,14,15,16,19,21,22,,,,,,,,,,,,,,,,,,,,,101120,1,1,1,20,1,23,1120,altsprachlich,,,,,,,,,15,33,1,3,2,13,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,38,0,3
2,6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101121,1,1,1,21,1,23,1121,altsprachlich,,,,,,,,,16,53,8,11,2,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,47,0,3
2,9,10,13,20,21,,,,,,,,,,,,,,,,,,,,,,,,,,,101122,1,1,1,22,1,23,1122,altsprachlich,,,,,,,,,15,53,2,1,2,16,4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,42,0,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101123,1,1,1,23,1,23,1123,altsprachlich,,,,,,,,,16,39,2,1,2,16,4,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,44,0,3
